Identity	Male=1	Born_USA?	Born_White?	Name_Change?	Genre=drama	Birth	Final	Alive	?Films	?FourStar_Films	?Wins	?Noms	FirstFilm_Year	FirstWin_Year	FirstNom_Year
80	0	Yes	Yes	No	No	1939	2001	1	26	1	0	0	1963	NA	NA
81	1	No	Yes	No	Yes	1930	2001	1	54	4	0	1	1964	NA	1996
82	1	Yes	Yes	No	No	1918	2001	1	108	11	1	1	1941	1974	1974
83	1	Yes	Yes	No	Yes	1914	1985	0	11	3	0	0	1942	NA	NA
84	1	Yes	Yes	No	No	1911	1979	0	56	7	0	1	1942	NA	1952
85	1	Yes	Yes	No	Yes	1914	1990	0	81	10	0	5	1918	NA	1949
86	1	Yes	Yes	No	Yes	1908	1981	0	69	8	0	2	1938	NA	1955
87	1	Yes	Yes	No	Yes	1908	1983	0	113	8	0	0	1941	NA	NA
88	0	No	Yes	Yes	No	1929	1993	0	30	11	1	5	1951	1953	1953
89	0	Yes	Yes	No	Yes	1918	2001	1	47	7	0	0	1944	NA	NA
90	0	Yes	Yes	No	Yes	1922	1990	0	72	10	0	1	1941	NA	1953
91	0	No	Yes	No	Yes	1923	1990	0	18	4	0	0	1956	NA	NA
92	1	Yes	Yes	No	No	1928	2001	1	16	2	0	0	1962	NA	NA
93	1	Yes	Yes	Yes	No	1949	2001	1	17	3	0	0	1982	NA	NA
94	0	Yes	Yes	Yes	Yes	1931	2001	1	31	6	0	1	1956	NA	1979
95	0	Yes	Yes	No	Yes	1927	1990	0	15	5	0	0	1954	NA	NA
96	0	Yes	Yes	No	Yes	1922	2001	1	15	4	0	1	1947	NA	1948
97	0	Yes	Yes	No	No	1922	2001	1	71	5	0	0	1943	NA	NA
98	0	Yes	Yes	Yes	No	1935	2001	1	29	5	0	1	1965	NA	1971
99	0	Yes	Yes	Yes	Yes	1948	2001	1	57	8	0	1	1968	NA	1969
100	0	Yes	Yes	No	Yes	1943	2001	1	4	0	0	0	1968	NA	NA
101	0	Yes	Yes	No	Yes	1909	1980	0	17	4	0	1	1937	NA	1937
102	0	No	Yes	No	No	1947	2001	1	19	2	0	0	1968	NA	NA
103	0	Yes	Yes	Yes	Yes	1907	1990	0	95	11	0	4	1927	NA	1937
104	0	Yes	Yes	No	Yes	1942	2001	1	30	7	1	2	1963	1968	1968
105	0	No	Yes	No	Yes	1924	2001	1	7	1	0	0	1944	NA	NA
106	1	Yes	Yes	No	Yes	1934	2001	1	18	1	0	0	1955	NA	NA
107	1	No	Yes	Yes	Yes	1888	1961	0	44	8	1	2	1930	1944	1944
108	1	Yes	Yes	No	Yes	1894	1971	0	21	8	0	0	1923	NA	NA
109	1	Yes	Yes	No	Yes	1958	2001	1	16	5	0	0	1975	NA	NA
110	1	Yes	Yes	Yes	Yes	1920	2001	1	35	3	0	0	1941	NA	NA
111	1	Yes	Yes	No	Yes	1938	2001	1	45	2	0	0	1968	NA	NA
112	1	Yes	Yes	Yes	Yes	1912	1994	0	104	7	0	0	1943	NA	NA
113	1	Yes	Yes	No	Yes	1937	1996	0	36	3	0	0	1968	NA	NA
114	1	No	Yes	No	Yes	1892	1967	0	103	22	0	2	1921	NA	1936
115	0	Yes	No	No	Yes	1926	2000	0	29	8	0	1	1959	NA	1967
116	0	Yes	Yes	No	Yes	1918	2001	1	26	5	1	1	1951	1976	1976
117	0	Yes	Yes	No	Yes	1976	2001	1	1	0	0	0	1984	NA	NA
118	0	Yes	Yes	No	Yes	1891	1932	0	35	3	0	0	1916	NA	NA
119	1	Yes	Yes	No	Yes	1972	2001	1	12	3	0	0	1987	NA	NA
120	1	Yes	Yes	No	No	1918	1996	0	79	16	1	1	1943	1971	1953
121	1	No	Yes	No	Yes	1943	2001	1	37	8	1	2	1973	1982	1982
122	1	Yes	Yes	No	Yes	1915	1989	0	47	10	0	0	1936	NA	NA
123	1	Yes	Yes	No	Yes	1900	1980	0	29	5	0	0	1937	NA	NA
124	1	Yes	No	No	Yes	1916	1987	0	55	4	0	0	1936	NA	NA
125	1	No	Yes	No	Yes	1938	2001	1	15	2	0	0	1957	NA	NA
126	1	Yes	Yes	No	No	1891	1971	0	131	10	0	0	1921	NA	NA
127	0	Yes	Yes	No	No	1900	1984	0	166	31	0	0	1923	NA	NA
128	0	Yes	Yes	Yes	Yes	1898	1986	0	98	9	0	1	1915	NA	1929
129	0	Yes	Yes	No	Yes	1952	2001	1	6	0	0	0	1984	NA	NA
130	0	Yes	Yes	Yes	Yes	1923	2001	1	22	6	0	1	1947	NA	1955
131	0	Yes	Yes	No	Yes	1929	2001	1	19	3	0	0	1953	NA	NA
132	0	Yes	Yes	No	Yes	1908	1989	0	122	26	2	11	1931	1935	1934
133	0	Yes	Yes	No	No	1945	2001	1	31	3	0	2	1966	NA	1979
134	0	Yes	Yes	No	Yes	1893	1972	0	90	9	0	0	1918	NA	NA
135	0	Yes	Yes	No	Yes	1897	1974	0	108	4	0	1	1916	NA	1929
136	0	Yes	Yes	No	Yes	1918	1973	0	22	9	0	0	1939	NA	NA
137	0	Yes	Yes	No	Yes	1938	2001	1	4	0	0	0	1956	NA	NA
138	0	Yes	Yes	No	Yes	1888	1981	0	66	14	0	2	1931	NA	1936
139	0	Yes	Yes	Yes	Yes	1926	2001	1	60	6	0	0	1940	NA	NA
140	1	Yes	Yes	No	Yes	1931	2001	1	13	2	0	0	1972	NA	NA
141	0	Yes	Yes	No	No	1885	1970	0	75	10	0	1	1916	NA	1938
142	1	Yes	Yes	No	No	1906	2001	1	141	14	0	0	1935	NA	NA
143	1	Yes	Yes	No	Yes	1955	2001	1	25	5	0	2	1987	NA	1996
144	1	Yes	Yes	No	No	1910	1984	0	11	3	0	0	1950	NA	NA
145	1	Yes	Yes	Yes	No	1901	1977	0	113	12	1	3	1930	1944	1944
146	0	Yes	Yes	No	Yes	1944	2001	1	42	10	0	0	1970	NA	NA
147	1	Yes	Yes	No	Yes	1942	2001	1	66	8	0	0	1969	NA	NA
148	1	Yes	Yes	No	Yes	1945	2001	1	36	8	0	0	1981	NA	NA
149	1	No	Yes	No	Yes	1942	2001	1	47	3	0	1	1972	NA	1986
150	1	Yes	Yes	Yes	No	1936	1973	0	23	2	0	1	1952	NA	1963
151	1	Yes	Yes	No	Yes	1931	1999	0	13	5	0	0	1938	NA	NA
152	0	Yes	Yes	No	Yes	1923	1988	0	57	8	0	1	1932	NA	1936
153	0	Yes	Yes	No	Yes	1929	2001	1	29	5	0	0	1974	NA	NA
154	1	Yes	Yes	Yes	Yes	1917	2001	1	39	7	0	0	1929	NA	NA
155	1	Yes	Yes	No	Yes	1950	2001	1	52	7	0	1	1975	NA	1975
156	1	Yes	Yes	No	Yes	1963	2001	1	20	5	0	1	1988	NA	1995
157	1	Yes	Yes	No	Yes	1931	2001	1	32	8	0	0	1972	NA	NA
158	1	Yes	Yes	No	Yes	1942	1972	0	14	4	0	1	1952	NA	1953
159	0	Yes	Yes	No	Yes	1946	2001	1	12	2	0	2	1980	NA	1996
160	0	No	Yes	No	No	1909	1996	0	9	3	0	0	1935	NA	NA
161	0	No	Yes	No	Yes	1944	2001	1	22	4	1	1	1964	1989	1989
162	0	No	No	Yes	Yes	1915	1992	0	18	2	0	0	1939	NA	NA
163	0	Yes	Yes	No	Yes	1939	2001	1	43	2	0	1	1969	NA	1975
164	1	No	Yes	No	Yes	1902	1986	0	44	7	0	1	1924	NA	1939
165	1	Yes	Yes	No	No	1936	1990	0	9	2	0	0	1965	NA	NA
166	1	No	Yes	No	No	1899	1972	0	107	11	0	1	1926	NA	1939
167	1	Yes	Yes	No	Yes	1910	1986	0	104	10	1	1	1931	1949	1949
168	0	Yes	Yes	No	Yes	1967	2001	1	12	3	0	0	1985	NA	NA
169	1	Yes	Yes	No	Yes	1946	2001	1	63	6	0	1	1969	NA	1990
170	1	Yes	Yes	No	Yes	1936	2001	1	71	16	0	1	1960	NA	1978
171	1	Yes	Yes	No	No	1934	2001	1	10	0	0	0	1975	NA	NA
172	1	No	Yes	Yes	No	1955	2001	1	33	8	0	0	1980	NA	NA
173	1	Yes	Yes	No	No	1915	1986	0	19	1	0	0	1937	NA	NA
174	1	Yes	Yes	No	Yes	1908	1997	0	122	14	0	2	1936	NA	1975
175	1	Yes	Yes	Yes	Yes	1909	1995	0	52	16	1	1	1946	1958	1958
176	1	Yes	Yes	No	Yes	1913	1994	0	97	31	1	4	1946	1960	1953
177	1	Yes	Yes	No	No	1936	2001	1	100	6	0	1	1959	NA	1997
178	1	Yes	Yes	Yes	Yes	1940	2001	1	58	4	0	1	1971	NA	1974
179	0	Yes	No	Yes	No	1911	1995	0	19	6	0	0	1939	NA	NA
180	1	Yes	Yes	No	Yes	1918	1994	0	166	12	0	0	1945	NA	NA
181	0	Yes	Yes	Yes	Yes	1946	2001	1	34	6	0	1	1966	NA	1971
182	0	Yes	Yes	No	Yes	1947	2001	1	29	3	0	1	1972	NA	1972
183	0	Yes	Yes	Yes	Yes	1925	2001	1	22	5	0	1	1943	NA	1958
184	1	Yes	Yes	No	No	1926	1959	0	99	16	0	0	1929	NA	NA
185	0	Yes	Yes	No	Yes	1940	2001	1	12	4	0	0	1975	NA	NA
186	1	No	No	No	No	1912	1986	0	8	0	0	0	1944	NA	NA
187	0	Yes	Yes	No	Yes	1914	1995	0	9	2	0	0	1953	NA	NA
188	0	Yes	Yes	No	No	1935	2001	1	8	4	0	0	1971	NA	NA
189	0	Yes	Yes	No	No	1933	2001	1	30	4	0	0	1963	NA	NA
190	0	Yes	Yes	No	No	1923	2001	1	14	2	0	1	1950	NA	1967
191	0	Yes	Yes	No	No	1952	2001	1	64	9	0	1	1969	NA	1975
192	0	Yes	Yes	Yes	No	1908	1942	0	75	9	0	1	1920	NA	1936
193	0	Yes	Yes	No	Yes	1964	2001	1	1	0	0	0	1991	NA	NA
194	0	Yes	Yes	No	Yes	1930	2001	1	6	1	0	0	1961	NA	NA
195	0	Yes	Yes	No	Yes	1929	1983	0	48	8	0	1	1952	NA	1957
196	0	Yes	Yes	No	Yes	1946	2001	1	35	3	0	1	1969	NA	1970
197	0	Yes	Yes	No	Yes	1931	2001	1	18	4	0	1	1953	NA	1956
198	0	Yes	Yes	No	Yes	1901	1974	0	32	2	0	0	1927	NA	NA
199	1	No	Yes	Yes	No	1904	1986	0	89	23	0	2	1932	NA	1937
200	0	Yes	Yes	No	No	1943	2001	1	8	1	0	1	1969	NA	1969
201	0	Yes	Yes	No	Yes	1918	2001	1	28	2	0	0	1924	NA	NA
202	0	No	Yes	Yes	Yes	1943	2001	1	73	6	0	1	1956	NA	1992
203	0	Yes	Yes	No	No	1961	2001	1	23	2	0	1	1980	NA	1980
204	0	Yes	Yes	Yes	Yes	1923	1970	0	19	5	0	0	1946	NA	NA
205	1	No	Yes	No	Yes	1921	1992	0	47	9	0	0	1958	NA	NA
206	1	No	Yes	No	No	1891	1973	0	104	19	0	2	1934	NA	1948
207	0	Yes	Yes	No	No	1919	2001	1	39	9	1	3	1946	1947	1947
208	0	No	Yes	No	Yes	1908	1982	0	16	6	0	1	1943	NA	1946
209	0	No	Yes	No	Yes	1897	1979	0	43	6	0	0	1934	NA	NA
210	0	Yes	Yes	No	Yes	1939	2001	1	9	2	0	0	1962	NA	NA
211	1	Yes	Yes	No	Yes	1889	1967	0	95	14	0	3	1929	NA	1943
212	1	No	Yes	No	Yes	1899	1978	0	80	14	0	4	1920	NA	1937
213	1	No	Yes	No	No	1889	1977	0	163	45	0	2	1914	NA	1928
214	1	Yes	Yes	No	Yes	1935	2001	1	30	4	0	0	1971	NA	NA
215	1	Yes	Yes	No	Yes	1877	1961	0	71	16	1	3	1934	1943	1941
216	1	Yes	Yes	No	Yes	1933	2001	1	93	18	0	2	1965	NA	1982
217	1	Yes	Yes	No	No	1935	2001	1	41	7	0	0	1964	NA	NA
218	1	Yes	Yes	No	No	1921	1978	0	59	6	0	0	1948	NA	NA
219	1	No	Yes	No	Yes	1888	1969	0	102	22	0	0	1930	NA	NA
220	1	No	Yes	No	Yes	1941	2001	1	4	2	0	0	1979	NA	NA
221	1	No	Yes	No	Yes	1899	1962	0	55	20	1	3	1929	1933	1933
222	1	Yes	Yes	No	No	1936	2001	1	67	8	0	0	1969	NA	NA
223	1	Yes	Yes	No	Yes	1925	2001	1	36	11	0	0	1964	NA	NA
224	1	No	Yes	No	No	1904	2001	1	52	0	0	0	1930	NA	NA
225	0	No	Yes	No	Yes	1946	2001	1	42	8	0	0	1956	NA	NA
226	1	Yes	Yes	Yes	Yes	1924	2001	1	99	16	1	1	1949	1959	1959
227	1	Yes	Yes	No	No	1951	2001	1	16	3	0	1	1983	NA	1994
228	0	Yes	Yes	Yes	Yes	1946	2001	1	22	4	1	2	1965	1987	1983
229	1	Yes	Yes	No	Yes	1901	1970	0	87	5	0	1	1917	NA	1929
230	1	No	No	Yes	Yes	1899	1981	0	11	3	0	1	1969	NA	1970
231	1	Yes	Yes	No	No	1903	1978	0	104	9	0	1	1934	NA	1960
232	1	No	Yes	No	Yes	1949	2001	1	53	5	0	0	1974	NA	NA
233	1	Yes	Yes	No	Yes	1942	2001	1	39	9	0	1	1974	NA	1975
234	1	Yes	No	No	No	1894	1953	0	78	12	0	0	1929	NA	NA
235	0	Yes	Yes	No	Yes	1950	2001	1	28	10	0	1	1978	NA	1984
236	1	Yes	Yes	No	Yes	1961	2001	1	30	3	0	0	1968	NA	NA
237	1	Yes	Yes	No	No	1938	2001	1	74	6	0	0	1975	NA	NA
238	1	Yes	Yes	No	Yes	1952	2001	1	42	2	0	0	1977	NA	NA
239	1	Yes	Yes	No	Yes	1943	2001	1	55	6	1	1	1968	1978	1978
240	1	Yes	Yes	No	No	1938	2001	1	36	3	0	0	1968	NA	NA
241	0	Yes	No	No	Yes	1933	2001	1	46	17	0	1	1959	NA	1972
242	0	Yes	Yes	No	No	1948	2001	1	32	5	0	0	1970	NA	NA
243	0	Yes	Yes	No	Yes	1913	1966	0	63	8	0	0	1940	NA	NA
244	0	Yes	Yes	Yes	Yes	1909	2001	1	71	11	1	3	1933	1948	1937
245	1	Yes	Yes	No	Yes	1959	2001	1	28	3	0	0	1983	NA	NA
246	1	No	Yes	No	No	1891	1970	0	69	8	0	0	1929	NA	NA
247	0	No	Yes	No	Yes	1880	1962	0	113	16	0	0	1914	NA	NA
248	1	Yes	Yes	No	Yes	1901	1960	0	56	15	1	3	1924	1934	1934
249	1	No	Yes	No	Yes	1889	1967	0	59	21	0	4	1933	NA	1939
250	1	Yes	Yes	No	No	1907	1985	0	17	2	0	0	1950	NA	NA
251	0	No	Yes	Yes	No	1903	1996	0	67	11	1	3	1927	1934	1934
253	1	Yes	Yes	No	Yes	1893	1953	0	150	14	0	0	1931	NA	NA
254	1	Yes	Yes	No	Yes	1936	2001	1	25	5	0	0	1969	NA	NA
255	1	Yes	Yes	No	Yes	1925	2001	1	79	6	1	1	1943	1968	1968
256	1	Yes	Yes	Yes	No	1893	1966	0	26	7	0	3	1924	NA	1944
257	1	Yes	Yes	No	Yes	1930	2001	1	72	17	0	1	1955	NA	1992
258	0	Yes	Yes	No	No	1926	2001	1	93	12	1	1	1955	1971	1971
259	1	Yes	Yes	No	Yes	1948	2001	1	43	3	0	0	1976	NA	NA
260	1	No	Yes	No	Yes	1930	1987	0	39	8	0	0	1961	NA	NA
261	1	No	Yes	No	Yes	1960	2001	1	19	6	0	0	1984	NA	NA
262	1	Yes	Yes	No	Yes	1896	1980	0	12	1	0	0	1929	NA	NA
263	1	No	Yes	No	Yes	1888	1968	0	61	12	0	0	1918	NA	NA
264	0	Yes	Yes	No	Yes	1924	1991	0	52	13	0	0	1959	NA	NA
265	0	Yes	Yes	No	Yes	1926	2001	1	1	1	0	1	1952	NA	1952
266	0	Yes	Yes	No	Yes	1943	2001	1	37	7	0	0	1975	NA	NA
267	0	Yes	Yes	No	No	1901	1985	0	88	11	0	0	1940	NA	NA
268	0	Yes	Yes	No	Yes	1880	1955	0	33	12	0	0	1935	NA	NA
269	1	No	Yes	No	Yes	1923	2001	1	17	3	0	0	1944	NA	NA
270	0	No	Yes	No	Yes	1929	2001	1	26	2	0	0	1947	NA	NA
271	0	Yes	Yes	No	Yes	1898	1979	0	21	1	0	1	1918	NA	1929
272	0	No	Yes	No	Yes	1937	2001	1	16	3	0	0	1961	NA	NA
273	1	Yes	Yes	No	Yes	1915	1989	0	44	2	0	1	1940	NA	1945
274	1	Yes	Yes	No	Yes	1946	2001	1	44	9	0	0	1971	NA	NA
275	1	Yes	Yes	No	Yes	1954	2001	1	25	3	0	0	1975	NA	NA
276	1	No	Yes	Yes	Yes	1882	1965	0	133	21	0	0	1914	NA	NA
277	1	Yes	Yes	No	No	1964	2001	1	23	5	0	0	1980	NA	NA
278	1	Yes	Yes	No	Yes	1968	2001	1	15	3	1	1	1988	1996	1996
279	0	Yes	Yes	No	Yes	1950	2001	1	30	4	0	0	1971	NA	NA
280	1	Yes	Yes	No	No	1893	1967	0	122	15	0	0	1922	NA	NA
281	1	Yes	Yes	No	No	1932	2001	1	79	10	0	0	1964	NA	NA
282	0	Yes	Yes	No	Yes	1897	2001	1	35	9	0	0	1922	NA	NA
283	1	No	Yes	No	No	1950	2001	1	78	13	0	1	1974	NA	1989
284	1	Yes	Yes	Yes	No	1917	1978	0	54	1	0	1	1940	NA	1948
285	1	No	Yes	No	Yes	1919	2001	1	64	6	0	1	1938	NA	1954
286	1	Yes	Yes	No	Yes	1915	1993	0	52	11	0	0	1942	NA	NA
287	0	Yes	Yes	No	Yes	1942	2001	1	19	6	0	0	1984	NA	NA
288	1	No	Yes	No	No	1907	1986	0	50	8	0	0	1946	NA	NA
289	1	No	Yes	No	Yes	1957	2001	1	17	8	1	2	1971	1989	1989
290	1	No	Yes	No	Yes	1933	1998	0	26	5	0	1	1943	NA	1968
291	1	Yes	Yes	No	Yes	1933	2001	1	70	15	0	1	1973	NA	1989
292	1	Yes	Yes	No	No	1944	2001	1	59	10	0	0	1968	NA	NA
293	1	Yes	No	No	Yes	1947	2001	1	44	10	0	0	1979	NA	NA
294	0	Yes	Yes	No	Yes	1960	2001	1	30	2	0	0	1978	NA	NA
295	1	Yes	Yes	No	No	1929	2001	1	8	1	0	0	1961	NA	NA
296	1	Yes	Yes	No	Yes	1952	2001	1	23	3	0	0	1956	NA	NA
297	1	Yes	Yes	No	Yes	1908	2001	1	30	9	0	0	1941	NA	NA
298	1	Yes	Yes	No	Yes	1943	2001	1	42	9	0	0	1973	NA	NA
299	1	Yes	Yes	No	Yes	1954	2001	1	38	3	0	0	1964	NA	NA
300	1	No	Yes	No	Yes	1933	2001	1	84	6	0	0	1950	NA	NA
301	1	No	Yes	No	No	1910	1983	0	114	17	1	1	1935	1958	1935
302	1	Yes	Yes	No	Yes	1954	2001	1	40	4	0	1	1979	NA	1992
303	1	Yes	Yes	No	Yes	1943	2001	1	24	3	0	0	1973	NA	NA
304	1	Yes	Yes	No	Yes	1921	1973	0	8	1	0	0	1961	NA	NA
305	1	No	Yes	No	Yes	1941	2001	1	93	12	0	0	1963	NA	NA
306	0	No	Yes	No	Yes	1930	1985	0	43	2	0	0	1951	NA	NA
307	1	Yes	Yes	No	Yes	1903	1991	0	103	18	1	1	1929	1949	1949
308	1	Yes	Yes	No	Yes	1935	2001	1	104	13	0	1	1945	NA	1988
309	0	Yes	Yes	Yes	No	1932	2001	1	56	8	0	1	1948	NA	1964
310	0	Yes	Yes	No	No	1957	2001	1	2	1	0	0	1965	NA	NA
311	0	No	Yes	No	Yes	1921	2001	1	57	19	0	6	1934	NA	1949
312	0	Yes	Yes	No	Yes	1953	2001	1	34	1	0	0	1973	NA	NA
313	0	Yes	Yes	No	Yes	1955	2001	1	21	4	0	3	1976	NA	1982
314	0	Yes	Yes	No	Yes	1905	1979	0	31	1	0	0	1923	NA	NA
315	0	Yes	Yes	Yes	Yes	1962	2001	1	32	1	0	0	1978	NA	NA
316	1	No	Yes	No	Yes	1922	1992	0	105	20	0	1	1949	NA	1986
317	1	No	Yes	No	Yes	1927	2001	1	20	5	0	0	1955	NA	NA
318	1	Yes	Yes	No	Yes	1936	2001	1	92	18	0	1	1953	NA	1955
319	1	Yes	No	No	Yes	1954	2001	1	36	7	1	4	1977	1989	1987
320	1	Yes	Yes	No	Yes	1898	1950	0	151	22	0	0	1931	NA	NA
321	1	Yes	Yes	No	Yes	1923	1990	0	6	2	0	1	1955	NA	1986
322	0	Yes	No	Yes	Yes	1935	2001	1	23	4	0	1	1954	NA	1974
323	0	Yes	Yes	No	Yes	1919	1997	0	21	2	0	0	1934	NA	NA
324	0	Yes	No	No	Yes	1944	2001	1	17	0	0	1	1972	NA	1972
325	0	Yes	Yes	No	Yes	1955	2001	1	31	1	0	1	1977	NA	1980
326	0	No	Yes	Yes	Yes	1906	1964	0	18	2	0	1	1932	NA	1933
327	0	No	Yes	No	Yes	1933	2001	1	30	5	0	1	1952	NA	1963
328	0	Yes	Yes	Yes	Yes	1946	2001	1	39	13	1	3	1970	1977	1974
329	0	Yes	Yes	No	Yes	1938	1992	0	11	2	0	1	1957	NA	1957
